salary_range,time_horizon,risk_appetite,industry,career
18+ LPA,Long-term,High-growth,Finance,Investment Banker
3–6 LPA,Long-term,Stable,Public Sector,Primary Teacher
12–18 LPA,Long-term,Stable,Technology,System Administrator
6–12 LPA,Medium-term,Moderate,Public Sector,Police Sub-Inspector
6–12 LPA,Short-term,Stable,Technology,Junior Developer
3–6 LPA,Short-term,Stable,Finance,Accounts Executive
18+ LPA,Long-term,High-growth,Consulting,Partner
18+ LPA,Long-term,Stable,Technology,Engineering Manager
3–6 LPA,Short-term,Stable,Technology,Help Desk Analyst
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
3–6 LPA,Long-term,Stable,Public Sector,Anganwadi Worker
6–12 LPA,Short-term,Stable,Technology,QA Engineer
18+ LPA,Long-term,Stable,Consulting,Consulting Director
12–18 LPA,Medium-term,Moderate,Consulting,IT Consultant
12–18 LPA,Medium-term,Moderate,Technology,Product Manager
18+ LPA,Medium-term,Moderate,Consulting,Business Analyst
18+ LPA,Long-term,Stable,Consulting,Consulting Director
6–12 LPA,Short-term,Stable,Technology,IT Support Engineer
18+ LPA,Medium-term,Moderate,Finance,Private Equity Associate
18+ LPA,Medium-term,Moderate,Public Sector,ISRO Scientist
18+ LPA,Long-term,Stable,Technology,Engineering Manager
3–6 LPA,Short-term,Stable,Public Sector,Peon
6–12 LPA,Medium-term,Moderate,Consulting,Marketing Consultant
12–18 LPA,Long-term,Stable,Consulting,HR Consultant
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
6–12 LPA,Short-term,Stable,Healthcare,Nurse
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
12–18 LPA,Medium-term,High-growth,Consulting,Data Scientist
18+ LPA,Medium-term,Moderate,Finance,Private Equity Associate
6–12 LPA,Medium-term,Moderate,Public Sector,Postal Officer
6–12 LPA,Medium-term,Moderate,Healthcare,Dietitian
18+ LPA,Long-term,Moderate,Consulting,Product Manager
6–12 LPA,Short-term,Stable,Public Sector,Government Clerk
18+ LPA,Long-term,High-growth,Consulting,Partner
18+ LPA,Long-term,High-growth,Technology,Data Scientist
6–12 LPA,Short-term,Stable,Finance,Auditor
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
18+ LPA,Long-term,High-growth,Technology,Cloud Architect
12–18 LPA,Medium-term,Moderate,Technology,Product Manager
18+ LPA,Long-term,Stable,Public Sector,Senior Bureaucrat
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
3–6 LPA,Short-term,Stable,Public Sector,Postman
6–12 LPA,Short-term,Stable,Healthcare,Nurse
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
18+ LPA,Medium-term,Moderate,Healthcare,Clinical Research Director
18+ LPA,Long-term,Stable,Finance,VP Finance
3–6 LPA,Short-term,Stable,Consulting,Associate Analyst
18+ LPA,Long-term,High-growth,Public Sector,Judge
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
18+ LPA,Long-term,Stable,Finance,Risk Director
18+ LPA,Medium-term,High-growth,Consulting,Business Analyst
6–12 LPA,Short-term,Stable,Consulting,Junior Consultant
3–6 LPA,Short-term,Stable,Finance,Accounts Executive
18+ LPA,Long-term,Stable,Healthcare,Medical Director
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
6–12 LPA,Short-term,Stable,Technology,QA Engineer
3–6 LPA,Short-term,Stable,Public Sector,Postman
12–18 LPA,Medium-term,Moderate,Finance,Financial Analyst
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
18+ LPA,Long-term,Stable,Technology,Senior Software Engineer
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
12–18 LPA,Long-term,Stable,Public Sector,State Civil Services
18+ LPA,Long-term,Moderate,Finance,Business Analyst
12–18 LPA,Medium-term,Moderate,Technology,Full Stack Developer
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
18+ LPA,Long-term,Stable,Technology,Technical Architect
18+ LPA,Long-term,Stable,Healthcare,Senior Physician
6–12 LPA,Short-term,Stable,Finance,Accountant
6–12 LPA,Medium-term,Moderate,Public Sector,Postal Officer
3–6 LPA,Short-term,Stable,Finance,Accounts Executive
18+ LPA,Long-term,High-growth,Healthcare,Surgeon
18+ LPA,Long-term,Stable,Public Sector,University Professor
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
3–6 LPA,Short-term,Stable,Consulting,Data Analyst Trainee
6–12 LPA,Short-term,Stable,Technology,Junior Developer
6–12 LPA,Medium-term,Moderate,Healthcare,Occupational Therapist
18+ LPA,Long-term,Stable,Finance,Risk Director
18+ LPA,Long-term,Stable,Public Sector,University Professor
12–18 LPA,Medium-term,Moderate,Public Sector,Defense Officer
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
3–6 LPA,Short-term,Stable,Public Sector,Peon
12–18 LPA,Long-term,Stable,Consulting,HR Consultant
12–18 LPA,Medium-term,Moderate,Public Sector,Defense Officer
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
18+ LPA,Long-term,Moderate,Technology,Business Analyst
18+ LPA,Long-term,High-growth,Healthcare,Surgeon
18+ LPA,Long-term,Stable,Technology,Engineering Manager
6–12 LPA,Long-term,Stable,Public Sector,College Lecturer
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
18+ LPA,Medium-term,Moderate,Public Sector,Public Sector Executive
18+ LPA,Medium-term,Moderate,Consulting,Senior Consultant
18+ LPA,Long-term,Stable,Healthcare,Senior Physician
3–6 LPA,Short-term,Stable,Technology,Data Entry Operator
18+ LPA,Long-term,High-growth,Healthcare,UX Designer
18+ LPA,Medium-term,Moderate,Public Sector,Public Sector Executive
6–12 LPA,Short-term,Stable,Consulting,Junior Consultant
6–12 LPA,Medium-term,Moderate,Healthcare,Dietitian
12–18 LPA,Long-term,Stable,Finance,Compliance Officer
18+ LPA,Medium-term,Moderate,Finance,M&A Analyst
6–12 LPA,Medium-term,Moderate,Healthcare,Dietitian
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
18+ LPA,Long-term,Stable,Technology,Senior Software Engineer
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
18+ LPA,Long-term,Moderate,Healthcare,UX Designer
18+ LPA,Medium-term,Moderate,Healthcare,Product Manager
12–18 LPA,Long-term,High-growth,Finance,Project Manager
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
18+ LPA,Long-term,High-growth,Technology,Data Scientist
18+ LPA,Long-term,Stable,Finance,CFO
18+ LPA,Long-term,High-growth,Public Sector,Judge
12–18 LPA,Long-term,High-growth,Consulting,Data Scientist
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
18+ LPA,Long-term,High-growth,Technology,Data Scientist
12–18 LPA,Long-term,Stable,Healthcare,Radiologist
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
12–18 LPA,Long-term,High-growth,Technology,Product Manager
18+ LPA,Long-term,Stable,Technology,Senior Software Engineer
18+ LPA,Long-term,High-growth,Healthcare,Medical Specialist
12–18 LPA,Long-term,Stable,Public Sector,Public Sector Manager
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
18+ LPA,Long-term,High-growth,Consulting,Management Consultant
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
18+ LPA,Medium-term,Moderate,Healthcare,Clinical Research Director
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
12–18 LPA,Short-term,High-growth,Technology,Blockchain Developer
18+ LPA,Short-term,High-growth,Finance,High Frequency Trader
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
18+ LPA,Long-term,High-growth,Finance,Quantitative Analyst
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
6–12 LPA,Short-term,Stable,Finance,Auditor
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
18+ LPA,Short-term,High-growth,Technology,Tech Entrepreneur
12–18 LPA,Long-term,High-growth,Technology,Data Scientist
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
3–6 LPA,Short-term,Stable,Technology,Help Desk Analyst
18+ LPA,Medium-term,Moderate,Consulting,Project Manager
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
6–12 LPA,Medium-term,Moderate,Consulting,Marketing Consultant
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
12–18 LPA,Medium-term,Moderate,Technology,Product Manager
18+ LPA,Long-term,Stable,Consulting,Client Partner
18+ LPA,Long-term,Stable,Technology,Engineering Manager
18+ LPA,Long-term,Stable,Technology,Engineering Manager
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
12–18 LPA,Long-term,Stable,Public Sector,Public Sector Manager
6–12 LPA,Short-term,Stable,Finance,Bank PO
6–12 LPA,Long-term,Stable,Public Sector,School Teacher
18+ LPA,Short-term,High-growth,Technology,Tech Entrepreneur
12–18 LPA,Long-term,Stable,Public Sector,Public Sector Manager
18+ LPA,Long-term,Stable,Technology,Senior Software Engineer
18+ LPA,Long-term,Stable,Consulting,Consulting Director
12–18 LPA,Medium-term,Moderate,Healthcare,Clinical Researcher
3–6 LPA,Short-term,Stable,Public Sector,Postman
12–18 LPA,Medium-term,Moderate,Consulting,Business Analyst
12–18 LPA,Medium-term,Moderate,Public Sector,Defense Officer
18+ LPA,Medium-term,Moderate,Public Sector,ISRO Scientist
18+ LPA,Long-term,Stable,Technology,Engineering Manager
12–18 LPA,Medium-term,Moderate,Technology,Project Manager
18+ LPA,Long-term,High-growth,Technology,Data Scientist
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
3–6 LPA,Short-term,Stable,Consulting,Associate Analyst
18+ LPA,Long-term,Stable,Healthcare,Senior Physician
12–18 LPA,Medium-term,Moderate,Finance,Credit Analyst
6–12 LPA,Medium-term,Moderate,Technology,Technical Writer
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
18+ LPA,Long-term,Stable,Finance,Risk Director
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
3–6 LPA,Short-term,Stable,Healthcare,Pharmacy Technician
18+ LPA,Medium-term,High-growth,Healthcare,Data Scientist
6–12 LPA,Short-term,Stable,Healthcare,Lab Technician
18+ LPA,Long-term,Stable,Technology,Senior Software Engineer
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
12–18 LPA,Medium-term,Moderate,Technology,Full Stack Developer
18+ LPA,Short-term,High-growth,Technology,Startup CTO
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
6–12 LPA,Short-term,Stable,Finance,Bank PO
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
18+ LPA,Long-term,Stable,Technology,Engineering Manager
3–6 LPA,Long-term,Stable,Healthcare,Patient Care Coordinator
6–12 LPA,Short-term,Stable,Finance,Accountant
18+ LPA,Short-term,High-growth,Technology,Startup CTO
18+ LPA,Medium-term,Moderate,Technology,Solutions Architect
18+ LPA,Long-term,High-growth,Public Sector,IPS Officer
18+ LPA,Short-term,High-growth,Technology,Startup CTO
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
18+ LPA,Long-term,Stable,Finance,CFO
6–12 LPA,Short-term,Stable,Healthcare,Medical Coder
18+ LPA,Long-term,High-growth,Public Sector,Judge
12–18 LPA,Long-term,Stable,Public Sector,Public Sector Manager
18+ LPA,Long-term,High-growth,Technology,Data Scientist
12–18 LPA,Long-term,High-growth,Technology,Data Scientist
18+ LPA,Medium-term,Moderate,Technology,Solutions Architect
12–18 LPA,Medium-term,Moderate,Consulting,IT Consultant
18+ LPA,Long-term,Stable,Technology,Technical Architect
3–6 LPA,Short-term,Stable,Finance,Teller
6–12 LPA,Short-term,Stable,Technology,Junior Developer
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
12–18 LPA,Medium-term,Moderate,Public Sector,Foreign Service Officer
12–18 LPA,Short-term,High-growth,Consulting,Startup Advisor
12–18 LPA,Medium-term,Moderate,Technology,Full Stack Developer
12–18 LPA,Short-term,High-growth,Consulting,Startup Advisor
12–18 LPA,Long-term,Stable,Consulting,HR Consultant
12–18 LPA,Long-term,Stable,Technology,Database Administrator
12–18 LPA,Long-term,High-growth,Public Sector,Project Manager
6–12 LPA,Medium-term,Moderate,Consulting,Sales Consultant
18+ LPA,Long-term,High-growth,Consulting,Management Consultant
18+ LPA,Long-term,Stable,Healthcare,Senior Physician
18+ LPA,Long-term,High-growth,Public Sector,IPS Officer
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
18+ LPA,Long-term,High-growth,Consulting,Strategy Director
3–6 LPA,Short-term,Stable,Healthcare,Pharmacy Technician
18+ LPA,Long-term,High-growth,Technology,Business Analyst
18+ LPA,Short-term,High-growth,Finance,High Frequency Trader
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
12–18 LPA,Medium-term,Moderate,Finance,Financial Analyst
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
18+ LPA,Long-term,High-growth,Healthcare,Surgeon
3–6 LPA,Short-term,Stable,Consulting,Associate Analyst
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
18+ LPA,Long-term,Stable,Technology,Engineering Manager
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
12–18 LPA,Long-term,Moderate,Technology,Project Manager
18+ LPA,Short-term,High-growth,Technology,Tech Entrepreneur
6–12 LPA,Short-term,Stable,Finance,Accountant
12–18 LPA,Long-term,Stable,Public Sector,State Civil Services
3–6 LPA,Short-term,Stable,Finance,Teller
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
12–18 LPA,Medium-term,Moderate,Finance,Credit Analyst
18+ LPA,Long-term,High-growth,Technology,Cloud Architect
18+ LPA,Long-term,Moderate,Finance,Project Manager
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
18+ LPA,Long-term,High-growth,Technology,Data Scientist
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
18+ LPA,Long-term,Moderate,Consulting,UX Designer
12–18 LPA,Medium-term,Moderate,Technology,Project Manager
18+ LPA,Medium-term,Moderate,Finance,Private Equity Associate
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
12–18 LPA,Long-term,Moderate,Public Sector,Project Manager
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
6–12 LPA,Long-term,Stable,Public Sector,College Lecturer
6–12 LPA,Short-term,Stable,Public Sector,Bank PO
12–18 LPA,Long-term,Stable,Finance,Actuary
18+ LPA,Medium-term,Moderate,Healthcare,UX Designer
6–12 LPA,Medium-term,Moderate,Finance,Tax Consultant
18+ LPA,Short-term,High-growth,Finance,Hedge Fund Manager
6–12 LPA,Medium-term,Moderate,Consulting,Marketing Consultant
6–12 LPA,Medium-term,Moderate,Public Sector,Police Sub-Inspector
18+ LPA,Long-term,Stable,Public Sector,University Professor
6–12 LPA,Short-term,Stable,Finance,Accountant
12–18 LPA,Medium-term,Moderate,Consulting,Project Manager
12–18 LPA,Medium-term,Moderate,Healthcare,Physiotherapist
3–6 LPA,Short-term,Stable,Healthcare,Pharmacy Technician
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
6–12 LPA,Short-term,Stable,Technology,IT Support Engineer
3–6 LPA,Long-term,Stable,Healthcare,Patient Care Coordinator
12–18 LPA,Long-term,Moderate,Finance,Data Scientist
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
6–12 LPA,Short-term,Stable,Healthcare,Nurse
12–18 LPA,Medium-term,Moderate,Technology,Full Stack Developer
12–18 LPA,Medium-term,Moderate,Consulting,Business Analyst
18+ LPA,Long-term,Moderate,Finance,Business Analyst
18+ LPA,Long-term,Stable,Finance,CFO
12–18 LPA,Long-term,Stable,Technology,System Administrator
12–18 LPA,Long-term,Stable,Finance,Compliance Officer
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
12–18 LPA,Medium-term,High-growth,Technology,Business Analyst
12–18 LPA,Medium-term,Moderate,Healthcare,Physiotherapist
3–6 LPA,Short-term,Stable,Finance,Bank Clerk
3–6 LPA,Short-term,Stable,Finance,Accounts Executive
18+ LPA,Long-term,Stable,Technology,Technical Architect
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
12–18 LPA,Medium-term,Moderate,Technology,Product Manager
12–18 LPA,Medium-term,High-growth,Finance,Business Analyst
18+ LPA,Long-term,Stable,Finance,CFO
18+ LPA,Long-term,High-growth,Technology,Data Scientist
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
12–18 LPA,Long-term,High-growth,Technology,Product Manager
18+ LPA,Long-term,High-growth,Consulting,Management Consultant
18+ LPA,Long-term,High-growth,Consulting,Management Consultant
6–12 LPA,Medium-term,Moderate,Technology,Technical Writer
12–18 LPA,Long-term,Stable,Technology,System Administrator
18+ LPA,Medium-term,Moderate,Healthcare,Clinical Research Director
3–6 LPA,Short-term,Stable,Consulting,Associate Analyst
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
18+ LPA,Medium-term,Moderate,Technology,Principal Engineer
12–18 LPA,Short-term,High-growth,Technology,Blockchain Developer
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
18+ LPA,Medium-term,Moderate,Technology,DevOps Lead
6–12 LPA,Long-term,Stable,Public Sector,College Lecturer
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
6–12 LPA,Medium-term,Moderate,Technology,Mobile App Developer
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
12–18 LPA,Medium-term,High-growth,Finance,Project Manager
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
18+ LPA,Long-term,High-growth,Finance,Investment Banker
18+ LPA,Long-term,Moderate,Finance,Project Manager
12–18 LPA,Short-term,High-growth,Technology,Blockchain Developer
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
18+ LPA,Medium-term,Moderate,Consulting,Business Analyst
12–18 LPA,Short-term,High-growth,Consulting,Digital Transformation Consultant
6–12 LPA,Medium-term,Moderate,Technology,UX Designer
6–12 LPA,Medium-term,Moderate,Healthcare,Dietitian
12–18 LPA,Medium-term,High-growth,Healthcare,Product Manager
6–12 LPA,Medium-term,Moderate,Healthcare,Occupational Therapist
6–12 LPA,Short-term,Stable,Finance,Accountant
18+ LPA,Long-term,High-growth,Finance,Portfolio Manager
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
18+ LPA,Long-term,High-growth,Technology,UX Designer
18+ LPA,Medium-term,Moderate,Technology,Solutions Architect
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
